# 20140411_202656
# Reversing - Normal Function
# IO #1 - Splitter - Reversing Switch
# IO #2 - Splitter - Reversing Switch
# Signal Out - Amp Bypass Switch (S6) - Splitter
# Signal Source - Signal Generator (J7) - Amp Bypass Switch
# Power Meter - NONE - NONE
# Amplifier - Include Amp
# 121 dB attn - 0
# 70 dB attn - 70
# SigGen dBm   dbmHc      dbmHx      dbmVc      dbmVx
  -14.0000     6.5285     6.4428     6.2007     6.1849
  -16.0000     4.7672     4.6942     4.3567     4.3598
  -18.0000     2.9162     2.8587     2.4911     2.5055
  -20.0000     0.9583     0.9111     0.5251     0.5478
  -22.0000    -1.0212    -1.0616    -1.4592    -1.4303
  -24.0000    -2.9460    -2.9813    -3.3866    -3.3524
  -26.0000    -4.9506    -4.9818    -5.3927    -5.3539
  -28.0000    -6.9574    -6.9853    -7.4010    -7.3584
  -30.0000    -8.9265    -8.9518    -9.3722    -9.3260
  -32.0000   -10.9421   -10.9650   -11.3898   -11.3400
  -34.0000   -12.9096   -12.9301   -13.3582   -13.3049
  -36.0000   -14.9241   -14.9420   -15.3731   -15.3164
  -38.0000   -16.8804   -16.8959   -17.3320   -17.2719
  -40.0000   -18.9037   -18.9177   -19.3554   -19.2936
  -42.0000   -20.9225   -20.9350   -21.3742   -21.3106
  -44.0000   -22.8977   -22.9076   -23.3513   -23.2817
  -46.0000   -24.3702   -24.3845   -24.8288   -24.7523
  -48.0000   -26.8592   -26.8661   -27.3106   -27.2413
  -50.0000   -28.8794   -28.8862   -29.3310   -29.2614
  -52.0000   -30.8974   -30.9050   -31.3490   -31.2797
  -54.0000   -32.9152   -32.9225   -33.3678   -33.2975
  -56.0000   -34.9319   -34.9385   -35.3849   -35.3137
  -58.0000   -36.8822   -36.8900   -37.3351   -37.2640
  -60.0000   -38.8996   -38.9063   -39.3530   -39.2798
  -62.0000   -40.9172   -40.9218   -41.3714   -41.2951
  -64.0000   -42.8628   -42.8666   -43.3173   -43.2398
  -66.0000   -44.8762   -44.8831   -45.3310   -45.2555
  -68.0000   -46.8237   -46.8376   -47.2796   -47.2078
  -70.0000   -48.8313   -48.8509   -49.2879   -49.2191
  -72.0000   -50.8331   -50.8621   -51.2905   -51.2265
  -74.0000   -52.7876   -52.8235   -53.2484   -53.1871
  -76.0000   -54.7873   -54.8261   -55.2498   -55.1917
  -78.0000   -56.7255   -56.7689   -57.1905   -57.1311
  -80.0000   -58.7276   -58.7727   -59.1888   -59.1300
  -82.0000   -60.6625   -60.7081   -61.1276   -61.0654
  -84.0000   -62.6391   -62.6856   -63.1018   -63.0453
  -86.0000   -64.5708   -64.6188   -65.0296   -64.9719
  -88.0000   -66.4558   -66.4989   -66.8996   -66.8458
  -90.0000   -68.2943   -68.3473   -68.7426   -68.6846
  -92.0000   -70.0399   -70.0788   -70.4619   -70.4071
  -94.0000   -71.3532   -71.4071   -71.7555   -71.6955
  -96.0000   -73.0976   -73.1509   -73.4810   -73.4298
  -98.0000   -74.3870   -74.4254   -74.7261   -74.6767
 -100.0000   -75.4386   -75.4887   -75.7482   -75.6846
 -102.0000   -76.2287   -76.2665   -76.4964   -76.4664
 -104.0000   -76.8534   -76.8830   -77.0850   -77.0461
 -106.0000   -77.3035   -77.3253   -77.4877   -77.4571
 -108.0000   -77.5749   -77.6193   -77.7627   -77.7282
 -110.0000   -77.7843   -77.8343   -77.9731   -77.9247
 -112.0000   -77.8949   -77.9394   -78.0863   -78.0461
 -114.0000   -77.9765   -78.0259   -78.1525   -78.1261
 -116.0000   -78.0457   -78.0753   -78.2116   -78.1682
 -118.0000   -78.0758   -78.1113   -78.2429   -78.2151
 -120.0000   -78.0801   -78.1344   -78.2520   -78.2237
 -122.0000   -78.0997   -78.1488   -78.2790   -78.2322
 -124.0000   -78.1075   -78.1378   -78.2669   -78.2388
 -126.0000   -78.1281   -78.1788   -78.2813   -78.2498
 -128.0000   -78.1181   -78.1732   -78.2915   -78.2527
 -130.0000   -78.1251   -78.1469   -78.2816   -78.2566
 -132.0000   -78.1476   -78.1742   -78.2909   -78.2654
 -134.0000   -78.1345   -78.1920   -78.2966   -78.2500
 -136.0000   -78.1403   -78.1786   -78.2819   -78.2618
 -138.0000   -78.1383   -78.1629   -78.2986   -78.2611
 -140.0000   -78.1558   -78.1649   -78.2897   -78.2686
# Hc-Vc Mean Difference - 0.3581  StdDev - 0.1246
# Slope - 0.0028 Intercept - 0.5697
# Hx-Vx Mean Difference - 0.2770  StdDev - 0.1196
# Slope - 0.0028 Intercept - 0.4890
