# 20140207_181602
# Reversing - Normal Function
# IO #1 - Splitter - Reversing Switch
# IO #2 - Splitter - Reversing Switch
# Signal Out - Amp Bypass Switch (S6) - Splitter
# Signal Source - Signal Generator (J7) - Amp Bypass Switch
# Power Meter - NONE - NONE
# Amplifier - Include Amp
# 121 dB attn - 0
# 70 dB attn - 70
# SigGen dBm   dbmHc      dbmHx      dbmVc      dbmVx
  -14.0000     6.5717     6.4619     6.4157     6.3391
  -16.0000     4.8087     4.7077     4.6093     4.5426
  -18.0000     2.9539     2.8694     2.7460     2.6922
  -20.0000     0.9936     0.9204     0.7775     0.7321
  -22.0000    -0.9935    -1.0525    -1.2165    -1.2609
  -24.0000    -2.9121    -2.9718    -3.1426    -3.1752
  -26.0000    -4.9181    -4.9728    -5.1412    -5.1687
  -28.0000    -6.9262    -6.9769    -7.1509    -7.1734
  -30.0000    -8.8969    -8.9451    -9.1299    -9.1498
  -32.0000   -10.9135   -10.9593   -11.1496   -11.1662
  -34.0000   -12.8815   -12.9253   -13.1085   -13.1225
  -36.0000   -14.8962   -14.9375   -15.1234   -15.1337
  -38.0000   -16.8531   -16.8919   -17.0822   -17.0901
  -40.0000   -18.8780   -18.9153   -19.1065   -19.1120
  -42.0000   -20.8973   -20.9332   -21.1296   -21.1335
  -44.0000   -22.8736   -22.9069   -23.1154   -23.1145
  -46.0000   -24.8711   -24.8993   -25.1046   -25.1022
  -48.0000   -26.8363   -26.8668   -27.0735   -27.0707
  -50.0000   -28.8587   -28.8885   -29.0982   -29.0961
  -52.0000   -30.8778   -30.9082   -31.1173   -31.1153
  -54.0000   -32.9049   -32.9346   -33.1409   -33.1390
  -56.0000   -34.9241   -34.9523   -35.1537   -35.1520
  -58.0000   -36.8762   -36.9041   -37.1104   -37.1083
  -60.0000   -38.8954   -38.9221   -39.1306   -39.1277
  -62.0000   -40.9151   -40.9386   -41.1493   -41.1438
  -64.0000   -42.8636   -42.8862   -43.1000   -43.0952
  -66.0000   -44.8798   -44.9047   -45.1152   -45.1140
  -68.0000   -46.8319   -46.8608   -47.0651   -47.0698
  -70.0000   -48.8329   -48.8582   -49.0593   -49.0766
  -72.0000   -50.8485   -50.8860   -51.0818   -51.0987
  -74.0000   -52.8100   -52.8523   -53.0378   -53.0623
  -76.0000   -54.8132   -54.8585   -55.0461   -55.0707
  -78.0000   -56.7557   -56.8001   -56.9853   -57.0147
  -80.0000   -58.7631   -58.8097   -58.9942   -59.0265
  -82.0000   -60.7050   -60.7548   -60.9349   -60.9640
  -84.0000   -62.6897   -62.7392   -62.9169   -62.9446
  -86.0000   -64.6340   -64.6785   -64.8594   -64.8858
  -88.0000   -66.5268   -66.5747   -66.7476   -66.7716
  -90.0000   -68.4074   -68.4492   -68.6159   -68.6447
  -92.0000   -70.1694   -70.2192   -70.3724   -70.3700
  -94.0000   -71.8406   -71.8838   -72.0348   -72.0474
  -96.0000   -73.3262   -73.3605   -73.4970   -73.4968
  -98.0000   -74.6691   -74.7025   -74.8192   -74.8029
 -100.0000   -75.7823   -75.8316   -75.9013   -75.9042
 -102.0000   -76.6343   -76.6752   -76.7313   -76.7259
 -104.0000   -77.3163   -77.3581   -77.3748   -77.3678
 -106.0000   -77.7927   -77.8408   -77.8497   -77.8341
 -108.0000   -78.1335   -78.1574   -78.1664   -78.1461
 -110.0000   -78.3455   -78.3873   -78.3933   -78.3314
 -112.0000   -78.4746   -78.5168   -78.5078   -78.4876
 -114.0000   -78.5891   -78.6124   -78.6291   -78.5573
 -116.0000   -78.6577   -78.6697   -78.6604   -78.6360
 -118.0000   -78.6839   -78.7274   -78.7195   -78.6664
 -120.0000   -78.7226   -78.7580   -78.7374   -78.6915
 -122.0000   -78.7217   -78.7525   -78.7517   -78.7103
 -124.0000   -78.7163   -78.7677   -78.7582   -78.7138
 -126.0000   -78.7402   -78.7825   -78.7516   -78.7114
 -128.0000   -78.7432   -78.7790   -78.7478   -78.7150
 -130.0000   -78.7546   -78.7878   -78.7554   -78.7235
 -132.0000   -78.7471   -78.8007   -78.7674   -78.7244
 -134.0000   -78.7539   -78.7828   -78.7785   -78.7403
 -136.0000   -78.7607   -78.7871   -78.7780   -78.7241
 -138.0000   -78.7519   -78.7782   -78.7777   -78.7128
 -140.0000   -78.7491   -78.7968   -78.7699   -78.7284
# Hc-Vc Mean Difference - 0.1620  StdDev - 0.0902
# Slope - 0.0020 Intercept - 0.3178
# Hx-Vx Mean Difference - 0.1200  StdDev - 0.1118
# Slope - 0.0025 Intercept - 0.3127
