# 20131209_182300
# Reversing - Normal Function
# IO #1 - Splitter - Reversing Switch
# IO #2 - Splitter - Reversing Switch
# Signal Out - Amp Bypass Switch (S6) - Splitter
# Signal Source - Signal Generator (J7) - Amp Bypass Switch
# Power Meter - NONE - NONE
# Amplifier - Include Amp
# 121 dB attn - 0
# 70 dB attn - 70
# SigGen dBm   dbmHc      dbmHx      dbmVc      dbmVx
  -14.0000     6.6190     6.4989     6.4358     6.3739
  -16.0000     4.8696     4.7540     4.6256     4.5782
  -18.0000     3.0152     2.9160     2.7587     2.7247
  -20.0000     1.0558     0.9676     0.7923     0.7672
  -22.0000    -0.9243    -1.0050    -1.1926    -1.2105
  -24.0000    -2.7674    -2.8312    -3.0263    -3.0500
  -26.0000    -4.8576    -4.9274    -5.1293    -5.1365
  -28.0000    -6.8652    -6.9314    -7.1381    -7.1413
  -30.0000    -8.8360    -8.8998    -9.1103    -9.1104
  -32.0000   -10.8523   -10.9136   -11.1282   -11.1251
  -34.0000   -12.8197   -12.8789   -13.0965   -13.0903
  -36.0000   -14.8355   -14.8918   -15.1123   -15.1026
  -38.0000   -16.7921   -16.8465   -17.0710   -17.0584
  -40.0000   -18.8163   -18.8694   -19.0956   -19.0811
  -42.0000   -20.8361   -20.8876   -21.1150   -21.0990
  -44.0000   -22.8127   -22.8619   -23.0929   -23.0729
  -46.0000   -24.8104   -24.8537   -25.0878   -25.0653
  -48.0000   -26.7762   -26.8218   -27.0558   -27.0334
  -50.0000   -28.7979   -28.8429   -29.0770   -29.0546
  -52.0000   -30.8168   -30.8621   -31.0958   -31.0735
  -54.0000   -32.8382   -32.8827   -33.1174   -33.0949
  -56.0000   -34.8568   -34.9003   -35.1355   -35.1127
  -58.0000   -36.8100   -36.8533   -37.0889   -37.0655
  -60.0000   -38.8280   -38.8699   -39.1065   -39.0822
  -62.0000   -40.8470   -40.8860   -41.1256   -41.0994
  -64.0000   -42.7964   -42.8331   -43.0740   -43.0476
  -66.0000   -44.8118   -44.8511   -45.0893   -45.0669
  -68.0000   -46.7640   -46.8064   -47.0406   -47.0226
  -70.0000   -48.7758   -48.8223   -49.0510   -49.0392
  -72.0000   -50.6132   -50.6588   -50.8822   -50.8834
  -74.0000   -52.7379   -52.7927   -53.0107   -53.0138
  -76.0000   -54.7394   -54.7975   -55.0132   -55.0191
  -78.0000   -56.6783   -56.7377   -56.9495   -56.9576
  -80.0000   -58.6787   -58.7386   -58.9475   -58.9583
  -82.0000   -60.6102   -60.6675   -60.8754   -60.8907
  -84.0000   -62.5760   -62.6401   -62.8400   -62.8528
  -86.0000   -64.4865   -64.5480   -64.7524   -64.7643
  -88.0000   -66.3441   -66.4102   -66.6000   -66.6108
  -90.0000   -68.1510   -68.2176   -68.3977   -68.4126
  -92.0000   -69.8316   -69.8907   -70.0572   -70.0723
  -94.0000   -71.3831   -71.4402   -71.5971   -71.5956
  -96.0000   -72.7090   -72.7637   -72.9102   -72.9061
  -98.0000   -73.8536   -73.9170   -74.0399   -74.0255
 -100.0000   -74.7934   -74.8570   -74.9325   -74.9411
 -102.0000   -75.4797   -75.5367   -75.5908   -75.6001
 -104.0000   -75.9824   -76.0404   -76.0820   -76.1104
 -106.0000   -76.3427   -76.3949   -76.4278   -76.4339
 -108.0000   -76.5751   -76.6238   -76.6513   -76.6501
 -110.0000   -76.7552   -76.8023   -76.7964   -76.8033
 -112.0000   -76.8178   -76.8899   -76.8865   -76.8974
 -114.0000   -76.9109   -76.9707   -76.9513   -76.9553
 -116.0000   -76.9332   -77.0017   -76.9897   -77.0028
 -118.0000   -76.9728   -77.0325   -77.0398   -77.0251
 -120.0000   -76.9956   -77.0447   -77.0495   -77.0442
 -122.0000   -77.0084   -77.0581   -77.0582   -77.0486
 -124.0000   -77.0184   -77.0826   -77.0672   -77.0619
 -126.0000   -77.0138   -77.0445   -77.0708   -77.0543
 -128.0000   -77.0176   -77.0665   -77.0713   -77.0638
 -130.0000   -77.0326   -77.0747   -77.0738   -77.0650
 -132.0000   -77.0324   -77.0702   -77.0793   -77.0860
 -134.0000   -77.0312   -77.0698   -77.0887   -77.0739
 -136.0000   -77.0289   -77.0867   -77.0779   -77.0695
 -138.0000   -77.0322   -77.0677   -77.0915   -77.0757
 -140.0000   -77.0240   -77.0719   -77.0703   -77.0688
# Hc-Vc Mean Difference - 0.1993  StdDev - 0.0958
# Slope - 0.0022 Intercept - 0.3668
# Hx-Vx Mean Difference - 0.1414  StdDev - 0.0928
# Slope - 0.0021 Intercept - 0.3001
