# 20140207_181223
# Reversing - Normal Function
# IO #1 - Splitter - Reversing Switch
# IO #2 - Splitter - Reversing Switch
# Signal Out - Amp Bypass Switch (S6) - Splitter
# Signal Source - Signal Generator (J7) - Amp Bypass Switch
# Power Meter - NONE - NONE
# Amplifier - Include Amp
# 121 dB attn - 0
# 70 dB attn - 70
# SigGen dBm   dbmHc      dbmHx      dbmVc      dbmVx
  -14.0000     6.6069     6.4974     6.4625     6.3867
  -16.0000     4.8511     4.7503     4.6556     4.5899
  -18.0000     2.9971     2.9131     2.7898     2.7366
  -20.0000     1.0373     0.9647     0.8203     0.7761
  -22.0000    -0.9428    -1.0080    -1.1660    -1.2024
  -24.0000    -2.8680    -2.9272    -3.0993    -3.1303
  -26.0000    -4.8745    -4.9285    -5.0993    -5.1265
  -28.0000    -6.8826    -6.9327    -7.1123    -7.1351
  -30.0000    -8.8528    -8.9004    -9.0888    -9.1078
  -32.0000   -10.8689   -10.9143   -11.1020   -11.1178
  -34.0000   -12.8385   -12.8813   -13.0703   -13.0828
  -36.0000   -14.8534   -14.8937   -15.0917   -15.1005
  -38.0000   -16.8105   -16.8486   -17.0438   -17.0499
  -40.0000   -18.8354   -18.8721   -19.0658   -19.0702
  -42.0000   -20.8552   -20.8905   -21.0850   -21.0878
  -44.0000   -22.8323   -22.8651   -23.0641   -23.0632
  -46.0000   -24.8310   -24.8582   -25.0596   -25.0559
  -48.0000   -26.7967   -26.8262   -27.0309   -27.0290
  -50.0000   -28.8191   -28.8480   -29.0528   -29.0488
  -52.0000   -30.8384   -30.8680   -31.0713   -31.0676
  -54.0000   -32.8682   -32.8964   -33.0998   -33.0956
  -56.0000   -34.8859   -34.9131   -35.1161   -35.1116
  -58.0000   -36.8383   -36.8647   -37.0677   -37.0618
  -60.0000   -38.8557   -38.8817   -39.0803   -39.0746
  -62.0000   -40.8742   -40.8970   -41.1083   -41.1012
  -64.0000   -42.8217   -42.8445   -43.0582   -43.0507
  -66.0000   -44.8382   -44.8625   -45.0632   -45.0616
  -68.0000   -46.7894   -46.8177   -47.0273   -47.0317
  -70.0000   -48.8010   -48.8325   -49.0410   -49.0480
  -72.0000   -50.8079   -50.8443   -51.0437   -51.0581
  -74.0000   -52.7667   -52.8062   -53.0068   -53.0290
  -76.0000   -54.7704   -54.8131   -55.0071   -55.0289
  -78.0000   -56.7097   -56.7534   -56.9475   -56.9743
  -80.0000   -58.7094   -58.7529   -58.9421   -58.9666
  -82.0000   -60.6547   -60.6971   -60.8851   -60.9171
  -84.0000   -62.6293   -62.6612   -62.8559   -62.8789
  -86.0000   -64.5243   -64.5704   -64.7435   -64.7703
  -88.0000   -66.3566   -66.4080   -66.5694   -66.5996
  -90.0000   -68.1414   -68.1989   -68.3516   -68.3804
  -92.0000   -69.8090   -69.8717   -69.9978   -70.0436
  -94.0000   -71.3217   -71.4314   -71.5225   -71.5575
  -96.0000   -72.6322   -72.7216   -72.8169   -72.8450
  -98.0000   -73.7872   -73.8676   -73.9313   -73.9646
 -100.0000   -74.8738   -74.9176   -75.0147   -75.0293
 -102.0000   -76.0679   -76.1144   -76.1811   -76.1732
 -104.0000   -76.8355   -76.8476   -76.9377   -76.9080
 -106.0000   -77.2812   -77.3246   -77.3917   -77.3363
 -108.0000   -77.5971   -77.6515   -77.6698   -77.6570
 -110.0000   -77.8021   -77.8499   -77.8765   -77.8524
 -112.0000   -77.9110   -77.9579   -77.9649   -77.9523
 -114.0000   -78.0024   -78.0510   -78.0612   -78.0036
 -116.0000   -78.0224   -78.0544   -78.0659   -78.0349
 -118.0000   -78.0358   -78.0695   -78.0915   -78.0541
 -120.0000   -78.0464   -78.1010   -78.0963   -78.0688
 -122.0000   -76.3323   -78.0849   -75.7788   -78.0395
 -124.0000   -77.8024   -78.1140   -77.8385   -78.0563
 -126.0000   -77.8713   -77.9183   -77.9481   -77.9068
 -128.0000   -77.2064   -77.2446   -77.4161   -77.3988
 -130.0000   -77.0436   -77.1161   -77.1014   -77.1331
 -132.0000   -76.8182   -77.0405   -76.9333   -77.0412
 -134.0000   -76.7491   -76.9136   -76.8023   -76.9366
 -136.0000   -76.7603   -76.9730   -76.8134   -76.9333
 -138.0000   -76.7611   -76.9233   -76.8589   -76.9219
 -140.0000   -76.8821   -76.9413   -76.9086   -76.9715
# Hc-Vc Mean Difference - 0.1672  StdDev - 0.1096
# Slope - 0.0019 Intercept - 0.3085
# Hx-Vx Mean Difference - 0.1337  StdDev - 0.0927
# Slope - 0.0020 Intercept - 0.2833
