# 20140304_184746
# Reversing - Normal Function
# IO #1 - Splitter - Reversing Switch
# IO #2 - Splitter - Reversing Switch
# Signal Out - Amp Bypass Switch (S6) - Splitter
# Signal Source - Signal Generator (J7) - Amp Bypass Switch
# Power Meter - NONE - NONE
# Amplifier - Include Amp
# 121 dB attn - 0
# 70 dB attn - 70
# SigGen dBm   dbmHc      dbmHx      dbmVc      dbmVx
  -14.0000     6.4901     6.3854     6.3194     6.2584
  -16.0000     4.7184     4.6056     4.4883     4.4413
  -18.0000     2.8629     2.7662     2.6208     2.5866
  -20.0000     0.9017     0.8157     0.6527     0.6272
  -22.0000    -1.0798    -1.1584    -1.3330    -1.3514
  -24.0000    -3.0050    -3.0777    -3.2606    -3.2733
  -26.0000    -5.0120    -5.0793    -5.2682    -5.2759
  -28.0000    -7.0195    -7.0839    -7.2777    -7.2814
  -30.0000    -8.9895    -9.0515    -9.2490    -9.2498
  -32.0000   -11.0058   -11.0654   -11.2668   -11.2647
  -34.0000   -12.9739   -13.0314   -13.2358   -13.2302
  -36.0000   -14.9889   -15.0440   -15.2517   -15.2430
  -38.0000   -16.9454   -17.0050   -17.2161   -17.1984
  -40.0000   -18.9699   -19.0217   -19.2348   -19.2216
  -42.0000   -20.9897   -21.0400   -21.2544   -21.2398
  -44.0000   -22.9654   -23.0125   -23.2311   -23.2115
  -46.0000   -24.9614   -25.0055   -25.2253   -25.2049
  -48.0000   -26.9276   -26.9724   -27.1921   -27.1715
  -50.0000   -28.9495   -28.9940   -29.2138   -29.1935
  -52.0000   -30.9693   -31.0143   -31.2332   -31.2131
  -54.0000   -32.9811   -33.0257   -33.2454   -33.2258
  -56.0000   -35.0003   -35.0433   -35.2639   -35.2436
  -58.0000   -36.9519   -36.9954   -37.2158   -37.1947
  -60.0000   -38.9710   -39.0122   -39.2342   -39.2124
  -62.0000   -40.9899   -41.0295   -41.2535   -41.2311
  -64.0000   -42.9378   -42.9760   -43.2008   -43.1782
  -66.0000   -44.9541   -44.9948   -45.2160   -45.1979
  -68.0000   -46.9063   -46.9501   -47.1667   -47.1539
  -70.0000   -48.9170   -48.9643   -49.1764   -49.1701
  -72.0000   -50.9215   -50.9754   -51.1805   -51.1814
  -74.0000   -52.8806   -52.9374   -53.1372   -53.1458
  -76.0000   -54.8853   -54.9453   -55.1431   -55.1557
  -78.0000   -56.8262   -56.8867   -57.0817   -57.0946
  -80.0000   -58.8295   -58.8920   -59.0871   -59.1034
  -82.0000   -60.7663   -60.8315   -61.0248   -61.0411
  -84.0000   -62.7510   -62.8085   -62.9989   -63.0155
  -86.0000   -64.0709   -64.1380   -64.3261   -64.3338
  -88.0000   -66.5565   -66.6258   -66.8059   -66.8121
  -90.0000   -68.4063   -68.4673   -68.6337   -68.6550
  -92.0000   -70.1386   -70.1896   -70.3553   -70.3683
  -94.0000   -71.7714   -71.8161   -71.9661   -71.9917
  -96.0000   -73.1866   -73.2503   -73.3836   -73.3740
  -98.0000   -74.4442   -74.5206   -74.6330   -74.6212
 -100.0000   -75.4946   -75.5657   -75.6406   -75.6308
 -102.0000   -76.2927   -76.3492   -76.4008   -76.4063
 -104.0000   -76.8959   -76.9356   -76.9783   -76.9795
 -106.0000   -77.3223   -77.3737   -77.3794   -77.3949
 -108.0000   -77.6074   -77.6606   -77.6604   -77.6815
 -110.0000   -77.7933   -77.8573   -77.8433   -77.8290
 -112.0000   -77.9152   -77.9777   -77.9728   -77.9625
 -114.0000   -78.0107   -78.0772   -78.0412   -78.0580
 -116.0000   -78.0689   -78.1176   -78.0851   -78.1015
 -118.0000   -78.0939   -78.1503   -78.1333   -78.1462
 -120.0000   -78.1041   -78.1561   -78.1448   -78.1559
 -122.0000   -78.1121   -78.1817   -78.1519   -78.1562
 -124.0000   -78.1364   -78.1899   -78.1804   -78.1693
 -126.0000   -78.1358   -78.2096   -78.1741   -78.1900
 -128.0000   -78.1437   -78.1987   -78.1787   -78.1768
 -130.0000   -78.1506   -78.1929   -78.1881   -78.1965
 -132.0000   -78.1626   -78.2036   -78.1870   -78.1824
 -134.0000   -78.1427   -78.2142   -78.1768   -78.2068
 -136.0000   -78.1495   -78.2092   -78.1860   -78.1871
 -138.0000   -78.1448   -78.2114   -78.1917   -78.1843
 -140.0000   -78.1375   -78.2102   -78.1962   -78.1862
# Hc-Vc Mean Difference - 0.1861  StdDev - 0.0957
# Slope - 0.0022 Intercept - 0.3526
# Hx-Vx Mean Difference - 0.1290  StdDev - 0.0937
# Slope - 0.0021 Intercept - 0.2891
