# 20140304_185118
# Reversing - Normal Function
# IO #1 - Splitter - Reversing Switch
# IO #2 - Splitter - Reversing Switch
# Signal Out - Amp Bypass Switch (S6) - Splitter
# Signal Source - Signal Generator (J7) - Amp Bypass Switch
# Power Meter - NONE - NONE
# Amplifier - Include Amp
# 121 dB attn - 0
# 70 dB attn - 70
# SigGen dBm   dbmHc      dbmHx      dbmVc      dbmVx
  -14.0000     6.3150     6.1916     6.1250     6.0621
  -16.0000     4.4946     4.3836     4.2641     4.2182
  -18.0000     2.6363     2.5403     2.3947     2.3609
  -20.0000     0.6732     0.5876     0.4248     0.3996
  -22.0000    -1.3093    -1.3878    -1.5614    -1.5798
  -24.0000    -2.4252    -2.5041    -2.6816    -2.6938
  -26.0000    -5.2404    -5.3085    -5.4959    -5.5039
  -28.0000    -7.2473    -7.3119    -7.5038    -7.5080
  -30.0000    -9.2159    -9.2786    -9.4740    -9.4753
  -32.0000   -11.2322   -11.2926   -11.4915   -11.4899
  -34.0000   -13.1980   -13.2561   -13.4583   -13.4531
  -36.0000   -15.2114   -15.2671   -15.4720   -15.4640
  -38.0000   -17.1672   -17.2211   -17.4296   -17.4190
  -40.0000   -19.1897   -19.2424   -19.4527   -19.4402
  -42.0000   -21.2080   -21.2592   -21.4708   -21.4569
  -44.0000   -23.1833   -23.2295   -23.4470   -23.4265
  -46.0000   -25.1761   -25.2222   -25.4393   -25.4201
  -48.0000   -27.1423   -27.1878   -27.4052   -27.3854
  -50.0000   -29.1626   -29.2078   -29.4253   -29.4056
  -52.0000   -31.1802   -31.2256   -31.4426   -31.4231
  -54.0000   -33.1912   -33.2368   -33.4536   -33.4346
  -56.0000   -35.2086   -35.2530   -35.4712   -35.4518
  -58.0000   -37.1596   -37.2035   -37.4217   -37.4018
  -60.0000   -39.1781   -39.2199   -39.4396   -39.4185
  -62.0000   -41.1959   -41.2355   -41.4571   -41.4355
  -64.0000   -43.1411   -43.1803   -43.4023   -43.3805
  -66.0000   -45.1560   -45.1977   -45.4152   -45.3988
  -68.0000   -47.1056   -47.1511   -47.3639   -47.3525
  -70.0000   -49.1154   -49.1640   -49.3719   -49.3672
  -72.0000   -50.8885   -50.9497   -51.1522   -51.1479
  -74.0000   -53.0747   -53.1333   -53.3291   -53.3386
  -76.0000   -55.0757   -55.1365   -55.3310   -55.3451
  -78.0000   -57.0134   -57.0781   -57.2694   -57.2861
  -80.0000   -59.0185   -59.0817   -59.2701   -59.2901
  -82.0000   -60.9522   -61.0171   -61.2044   -61.2214
  -84.0000   -62.9287   -62.9958   -63.1784   -63.1979
  -86.0000   -64.8582   -64.9217   -65.1016   -65.1179
  -88.0000   -66.7311   -66.7978   -66.9753   -66.9823
  -90.0000   -68.5670   -68.6396   -68.8052   -68.8168
  -92.0000   -70.2932   -70.3411   -70.5089   -70.5253
  -94.0000   -71.9282   -71.9690   -72.1191   -72.1424
  -96.0000   -73.3098   -73.3793   -73.4956   -73.5054
  -98.0000   -74.5680   -74.6308   -74.7185   -74.7613
 -100.0000   -75.5923   -75.6582   -75.7242   -75.7409
 -102.0000   -76.3685   -76.4184   -76.4613   -76.4718
 -104.0000   -76.9502   -77.0159   -77.0464   -77.0450
 -106.0000   -77.3662   -77.4181   -77.4177   -77.4360
 -108.0000   -77.6341   -77.7077   -77.6997   -77.7212
 -110.0000   -77.8194   -77.9010   -77.8889   -77.8635
 -112.0000   -77.9542   -78.0150   -78.0007   -78.0066
 -114.0000   -78.0300   -78.0811   -78.0617   -78.0744
 -116.0000   -78.0820   -78.1428   -78.1214   -78.1163
 -118.0000   -78.1231   -78.1803   -78.1393   -78.1474
 -120.0000   -78.1273   -78.2054   -78.1750   -78.1597
 -122.0000   -78.1679   -78.2010   -78.1798   -78.1952
 -124.0000   -78.1701   -78.2059   -78.1962   -78.2044
 -126.0000   -78.1577   -78.2211   -78.2096   -78.1934
 -128.0000   -78.1464   -78.2353   -78.2090   -78.2005
 -130.0000   -78.1705   -78.2279   -78.1933   -78.2123
 -132.0000   -78.1622   -78.2127   -78.2132   -78.2231
 -134.0000   -78.1749   -78.2180   -78.2068   -78.2076
 -136.0000   -78.1600   -78.2198   -78.2068   -78.2177
 -138.0000   -78.1760   -78.2186   -78.1959   -78.1965
 -140.0000   -78.1552   -78.2165   -78.1994   -78.2105
# Hc-Vc Mean Difference - 0.1843  StdDev - 0.0953
# Slope - 0.0022 Intercept - 0.3525
# Hx-Vx Mean Difference - 0.1281  StdDev - 0.0933
# Slope - 0.0021 Intercept - 0.2865
